player
Adaílton
Ado Onaiwu
Akihiro Ienaga
Anderson Lopes
Andrés Iniesta
Arthur
Ayase Ueda
Daizen Maeda
Diego Oliveira
Edigar Junio
Élber
Erik Lima
Gōtoku Sakai
Hiroto Yamami
Hotaru Yamaguchi
Hugo Vieira
Hwang Ui-jo
Jay Bothroyd
Jô
João Schmidt
Jordy Croux
Kaoru Mitoma
Kasper Junker
Kengo Kawamata
Kengo Nakamura
Kuryū Matsuki
Kyogo Furuhashi
Leandro Damião
Leandro Montera da Silva
Leonardo
Lukian Araújo de Almeida
Marcinho
Marcos Júnior
Matej Jonjić
Mateus
Matheus Sávio
Michael Olunga
Patric
Pedro Júnior
Peter Utaka
Rafael Silva
Shin Yamada
Shinzo Koroki
Takahiro Ogihara
Takashi Usami
Tarik Elyounoussi
Teruhito Nakagawa
Thiago Santana
Tomoki Iwata
Yoshinori Mutō
Yosuke Ideguchi
Yu Kobayashi
Yuma Suzuki
Yuya Osako
