name_player,annual_salary,position,age
Andrés Iniesta,27901500,MF,41
Yuya Osako,2450561,FW,35
Kasper Junker,1400320,FW,31
Mateus,1295296,FW,30
Gōtoku Sakai,1260288,DF,34
Yoshinori Mutō,1260288,FW,32
Mitchell Langerak,1190272,GK,36
Matej Jonjić,1085248,DF,34
Alexander Scholz,1050240,DF,32
Élber,1050240,FW,34
Hotaru Yamaguchi,1050240,MF,34
Yuto Nagatomo,1050240,DF,38
Neta Lavi,980224,MF,28
Anderson Lopes,945216,FW,31
Hiroto Yamami,875200,FW,25
Takashi Usami,875200,MF,33
Akihiro Ienaga,840192,MF,38
Dawhan,840192,MF,31
Hiroki Sakai,840192,DF,35
Marcos Júnior,840192,FW,32
Shusaku Nishikawa,840192,GK,38
Shinji Kagawa,805184,MF,36
Adaílton,770176,MF,34
Kwon Kyung-won,770176,DF,33
David Moberg Karlsson,700160,GK,27
Marcinho,700160,FW,30
Matheus Sávio,700160,MF,28
Pedro Perotti,700160,FW,27
Song Bumkeun,700160,FW,33
Stefan Mugoša,700160,GK,40
Diego Pituca,696510,MF,32
Naomichi Ueda,696510,DF,30
Patric,644147,FW,37
Jordy Croux,630144,MF,33
Jakub Słowik,623142,GK,33
Marius Høibråten,616141,DF,30
Bryan Linssen,612640,FW,34
Masaaki Higashiguchi,602137,GK,39
Arthur,588134,MF,32
Diego Oliveira,574131,MF,29
Gabriel,574131,DF,30
Jesiel,546125,DF,31
João Schmidt,539123,MF,31
Lukian Araújo de Almeida,539123,FW,33
Jung Sung-ryong,525120,MF,32
Takahiro Ogihara,525120,MF,33
Yuma Suzuki,525120,FW,29
Leonardo,507616,FW,32
Tarik Elyounoussi,507616,FW,37
