chain,draw,beta,estimate
0,0,0,13.54017163418473
0,0,1,0.7112864336964287
0,1,0,13.625729768185446
0,1,1,-0.15498595326956388
0,2,0,13.499453838344191
0,2,1,0.9628516673351877
0,3,0,13.478530420704079
0,3,1,1.1921287306975394
0,4,0,13.527877874749377
0,4,1,0.6826123473967999
0,5,0,13.504831123498377
0,5,1,0.9253912252599885
0,6,0,13.595773005558137
0,6,1,0.1126214925281204
0,7,0,13.569052214794349
0,7,1,0.36351476236632246
0,8,0,13.51915389543716
0,8,1,0.8328598734775
0,9,0,13.54159159503665
0,9,1,0.6237091167408322
0,10,0,13.50825281781121
0,10,1,0.9153203235814181
0,11,0,13.544993917122152
0,11,1,0.616087794086431
0,12,0,13.477295409641128
0,12,1,1.0983304575938466
0,13,0,13.536324980276165
0,13,1,0.6670427658169145
0,14,0,13.561556170580815
0,14,1,0.4275649780349282
0,15,0,13.51548394860345
0,15,1,0.9951724876973973
0,16,0,13.502492150973374
0,16,1,0.934635179551102
0,17,0,13.566385407767772
0,17,1,0.38336126457160824
0,18,0,13.550064640628209
0,18,1,0.5625781411166455
0,19,0,13.559716975195968
0,19,1,0.4727922017688218
0,20,0,13.485064642140872
0,20,1,1.145802632512553
0,21,0,13.523312047012716
0,21,1,0.7904587529407235
0,22,0,13.55643184613311
0,22,1,0.5368200458728745
0,23,0,13.527574410975413
0,23,1,0.6489799219498128
0,24,0,13.577058667851652
0,24,1,0.31619517033224614
0,25,0,13.528148904246
0,25,1,0.7660661399064302
0,26,0,13.548849958510287
0,26,1,0.46418059438909015
0,27,0,13.519817843017707
0,27,1,0.8750012527980745
0,28,0,13.455445495316946
0,28,1,1.2658626317662727
0,29,0,13.49544153201409
0,29,1,0.9863478786429932
0,30,0,13.536705038764072
0,30,1,0.7402845308959995
0,31,0,13.470302219378604
0,31,1,1.0799655434562538
0,32,0,13.550893187460042
0,32,1,0.5185297567306106
0,33,0,13.527320904946727
0,33,1,0.7865793711270271
0,34,0,13.53233449929268
0,34,1,0.732215346618108
0,35,0,13.524421794720794
0,35,1,0.750731617025782
0,36,0,13.522294283823996
0,36,1,0.7060450236371761
0,37,0,13.561878302876082
0,37,1,0.48670071035935275
0,38,0,13.489519634846484
0,38,1,1.0828035382353793
0,39,0,13.583533747148211
0,39,1,0.238430313767216
0,40,0,13.589126340751815
0,40,1,0.1794910235732636
0,41,0,13.537445894929203
0,41,1,0.6718330036131609
0,42,0,13.518271785315076
0,42,1,1.0554839355683683
0,43,0,13.53096688082816
0,43,1,0.6397050482573579
0,44,0,13.526721258094533
0,44,1,0.81738928562246
0,45,0,13.505152110359449
0,45,1,0.8267750191471009
0,46,0,13.482015394636747
0,46,1,1.0478894609451832
0,47,0,13.539438247767817
0,47,1,0.6403845947978004
0,48,0,13.533498687128985
0,48,1,0.6929485612147225
0,49,0,13.524787006304908
0,49,1,0.7629354625382915
0,50,0,13.48282142980495
0,50,1,1.1505458893225733
0,51,0,13.505132901764636
0,51,1,0.917493361450632
0,52,0,13.562820781424346
0,52,1,0.4082193440892269
0,53,0,13.491251978159465
0,53,1,0.9725933303815822
0,54,0,13.544308737753418
0,54,1,0.5854507506354756
0,55,0,13.5222745147872
0,55,1,0.9409462602863198
0,56,0,13.48772770852875
0,56,1,1.118459312056633
0,57,0,13.487531086993958
0,57,1,1.0524059408091688
0,58,0,13.513485468620578
0,58,1,0.8629523733108699
0,59,0,13.51857151845564
0,59,1,0.8904956068046902
0,60,0,13.527872247821275
0,60,1,0.7259847570448086
0,61,0,13.513925861579192
0,61,1,0.7680951371980462
0,62,0,13.574848791066445
0,62,1,0.3927939145350795
0,63,0,13.547612202540574
0,63,1,0.48630753907778296
0,64,0,13.525458798676551
0,64,1,0.8001535297546554
0,65,0,13.578550114574856
0,65,1,0.291543309128437
0,66,0,13.535210088813832
0,66,1,0.7036606424009579
0,67,0,13.427045691307443
0,67,1,1.4552510558919636
0,68,0,13.580074856274441
0,68,1,0.3023047612713972
0,69,0,13.454206504153312
0,69,1,1.4659809030510538
0,70,0,13.56290138276126
0,70,1,0.42725334936091103
0,71,0,13.502645686638637
0,71,1,0.7831063294961702
0,72,0,13.510841583094088
0,72,1,0.8522345733271469
0,73,0,13.45817037772275
0,73,1,1.3587224899123411
0,74,0,13.540991082219996
0,74,1,0.565489127763056
0,75,0,13.577212919650325
0,75,1,0.3071855235112131
0,76,0,13.485561341699714
0,76,1,0.9386623336684793
0,77,0,13.503670211538392
0,77,1,0.9835876661154093
0,78,0,13.476760557026731
0,78,1,0.9810336543065479
0,79,0,13.54659751477793
0,79,1,0.6253845583858831
0,80,0,13.518388150584766
0,80,1,0.8078372221645913
0,81,0,13.518567158550244
0,81,1,0.7905588253573322
0,82,0,13.492340731390128
0,82,1,1.0793240704604565
0,83,0,13.554695811346658
0,83,1,0.4899072704796929
0,84,0,13.57898275036033
0,84,1,0.31312461373928785
0,85,0,13.542682518734315
0,85,1,0.5360830307361821
0,86,0,13.509571113615877
0,86,1,0.9012666514097506
0,87,0,13.522459830972645
0,87,1,0.7340095207028021
0,88,0,13.550051886944686
0,88,1,0.6776552360245395
0,89,0,13.558147985534726
0,89,1,0.4391008849807014
0,90,0,13.481979552335169
0,90,1,1.1777067426810255
0,91,0,13.59844651272661
0,91,1,0.09918095782348162
0,92,0,13.515108277765094
0,92,1,0.9342694716922448
0,93,0,13.52340159091515
0,93,1,0.8633169250451967
0,94,0,13.551201081756089
0,94,1,0.5058206505277388
0,95,0,13.494723265614985
0,95,1,0.9975677170590496
