name_player,SAR,annual_salary
Anderson Lopes,0.35123026810464025,945216
Yuya Osako,0.28510573888159657,2450561
Leonardo,0.2654735574717581,507616
Kasper Junker,0.2342682960500197,1400320
Yuma Suzuki,0.21418234980141948,525120
Diego Oliveira,0.203049831004427,574131
Patric,0.17901051705750434,644147
Yoshinori Mutō,0.1752227718023678,1260288
Marcos Júnior,0.14736314269273867,840192
Takashi Usami,0.14180634360946903,875200
Adaílton,0.1241269067065027,770176
Marcinho,0.11922195913402933,700160
Mateus,0.10905578338537936,1295296
Matheus Sávio,0.09813686699992756,700160
Akihiro Ienaga,0.09569008126511522,840192
Élber,0.07769268814728413,1050240
Lukian Araújo de Almeida,0.07145578338537938,539123
Arthur,0.06065567516027115,588134
Hiroto Yamami,0.05083988891948491,875200
Jordy Croux,0.020006704319790874,630144
Hotaru Yamaguchi,0.0042677993201579575,1050240
Tarik Elyounoussi,-0.020912726599259638,507616
Matej Jonjić,-0.02207419319541688,1085248
João Schmidt,-0.040411635160986545,539123
Gōtoku Sakai,-0.048565672711510244,1260288
Takahiro Ogihara,-0.05832674462582511,525120
